,datetime,mss_payload_id,mss_payload_mode,mss_payload_error,mss_payload_temp1,mss_payload_temp2,mss_payload_reserved,packet_version_number,packet_type,packet_secondary_header_flag,packet_id,packet_grouping_flag,packet_sequence_count,packet_data_length,time_ms_in_week,time_week_number,word_10_spare,dynamics_profile_amplitude,dynamics_profile_start_frequency,dynamics_profile_stop_frequency,dynamics_profile_start_window,dynamics_profile_stop_window,dynamics_profile_sweep_duration,iv_sweep_mask_cell_string_,iv_sweep_steps,iv_sweep_min_current,iv_sweep_max_current,iv_sweep_duty_cycle,camera_1_on_off,camera_2_on_off,camera_3_on_off,camera_4_on_off,word_22_spare,video_output_camera_no,dynamics_profile_amplitude_start,dynamics_profile_amplitude_stop,word_26_spare,word_27_spare,word_28_spare,word_29_spare,word_30_spare,word_31_spare,current_telemetry_format
58,09/27/2016 01:55:06.0517,402,1,0,51,48,0,0,0,1,1029,3,41,49,1665086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,26626,26626,26626,26626,26626,26626,0
59,09/27/2016 01:55:06.0607,402,1,0,51,48,0,0,0,1,1029,3,41,49,1665086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,26626,26626,26626,26626,26626,26626,0
60,09/27/2016 01:55:06.9468,402,1,0,51,48,0,0,0,1,1029,3,42,49,1666086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,27626,27626,27626,27626,27626,27626,0
61,09/27/2016 01:55:08.0419,402,1,0,51,48,0,0,0,1,1029,3,43,49,1667086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,28626,28626,28626,28626,28626,28626,0
62,09/27/2016 01:55:08.9370,402,1,0,51,48,0,0,0,1,1029,3,44,49,1668086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,29626,29626,29626,29626,29626,29626,0
63,09/27/2016 01:55:08.9460,402,1,0,51,48,0,0,0,1,1029,3,44,49,1668086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,29626,29626,29626,29626,29626,29626,0
64,09/27/2016 01:55:10.0381,402,1,0,51,48,0,0,0,1,1029,3,45,49,1669086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,30626,30626,30626,30626,30626,30626,0
65,09/27/2016 01:55:10.9382,402,1,0,51,48,0,0,0,1,1029,3,46,49,1670086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,31626,31626,31626,31626,31626,31626,0
66,09/27/2016 01:55:10.9482,402,1,0,51,48,0,0,0,1,1029,3,46,49,1670086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,31626,31626,31626,31626,31626,31626,0
67,09/27/2016 01:55:12.0373,402,1,0,51,48,0,0,0,1,1029,3,47,49,1671086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,32626,32626,32626,32626,32626,32626,0
68,09/27/2016 01:55:12.9464,402,1,0,51,48,0,0,0,1,1029,3,48,49,1672086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,33626,33626,33626,33626,33626,33626,0
69,09/27/2016 01:55:14.0395,402,1,0,51,48,0,0,0,1,1029,3,49,49,1673086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,34626,34626,34626,34626,34626,34626,0
70,09/27/2016 01:55:14.0495,402,1,0,51,48,0,0,0,1,1029,3,49,49,1673086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,34626,34626,34626,34626,34626,34626,0
71,09/27/2016 01:55:14.9396,402,1,0,51,48,0,0,0,1,1029,3,50,49,1674086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,35626,35626,35626,35626,35626,35626,0
72,09/27/2016 01:55:16.0307,402,1,0,51,48,0,0,0,1,1029,3,51,49,1675086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,36626,36626,36626,36626,36626,36626,0
73,09/27/2016 01:55:16.9218,402,1,0,51,48,0,0,0,1,1029,3,52,49,1676086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,37626,37626,37626,37626,37626,37626,0
74,09/27/2016 01:55:18.0109,402,1,0,51,48,0,0,0,1,1029,3,53,49,1677086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,38626,38626,38626,38626,38626,38626,0
75,09/27/2016 01:55:18.0219,402,1,0,51,48,0,0,0,1,1029,3,53,49,1677086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,38626,38626,38626,38626,38626,38626,0
76,09/27/2016 01:55:18.9150,402,1,0,51,48,0,0,0,1,1029,3,54,49,1678086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,39626,39626,39626,39626,39626,39626,0
77,09/27/2016 01:55:20.0061,402,1,0,51,48,0,0,0,1,1029,3,55,49,1679086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,40626,40626,40626,40626,40626,40626,0
78,09/27/2016 01:55:20.0151,402,1,0,51,48,0,0,0,1,1029,3,55,49,1679086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,40626,40626,40626,40626,40626,40626,0
79,09/27/2016 01:55:20.9072,402,1,0,51,48,0,0,0,1,1029,3,56,49,1680086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,41626,41626,41626,41626,41626,41626,0
80,09/27/2016 01:55:20.9172,402,1,0,51,48,0,0,0,1,1029,3,56,49,1680086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,41626,41626,41626,41626,41626,41626,0
81,09/27/2016 01:55:22.0093,402,1,0,51,48,0,0,0,1,1029,3,57,49,1681086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,42626,42626,42626,42626,42626,42626,0
82,09/27/2016 01:55:23.0994,402,1,0,51,48,0,0,0,1,1029,3,58,49,1682086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,43626,43626,43626,43626,43626,43626,0
83,09/27/2016 01:55:23.1104,402,1,0,51,48,0,0,0,1,1029,3,58,49,1682086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,43626,43626,43626,43626,43626,43626,0
84,09/27/2016 01:55:24.0015,402,1,0,51,48,0,0,0,1,1029,3,59,49,1683086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,44626,44626,44626,44626,44626,44626,0
85,09/27/2016 01:55:24.0115,402,1,0,51,48,0,0,0,1,1029,3,59,49,1683086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,44626,44626,44626,44626,44626,44626,0
86,09/27/2016 01:55:25.1016,402,1,0,51,48,0,0,0,1,1029,3,60,49,1684086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,45626,45626,45626,45626,45626,45626,0
87,09/27/2016 01:55:25.1116,402,1,0,51,48,0,0,0,1,1029,3,60,49,1684086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,45626,45626,45626,45626,45626,45626,0
